feature,sensitivity,sensitivity_normalised
pos_1,0.0009179741027764976,0.17253988981246948
pos_2,0.0016947691328823566,0.3185441493988037
pos_3,0.0017902227118611336,0.336485356092453
pos_4,0.0014978417893871665,0.2815302312374115
pos_5,0.0015007690526545048,0.28208044171333313
pos_6,0.0016890459228307009,0.31746843457221985
pos_7,0.0025240888353437185,0.47442081570625305
pos_8,0.0007750038639642298,0.14566759765148163
pos_9,0.0046346052549779415,0.8711076974868774
pos_10,0.005191412754356861,0.9757636785507202
pos_11,0.003934852313250303,0.7395840287208557
pos_12,0.0029278951697051525,0.5503191351890564
pos_13,0.0027716520708054304,0.5209521055221558
pos_14,0.0034143778029829264,0.641757071018219
pos_15,0.001471988158300519,0.2766708433628082
pos_16,0.0002124431193806231,0.03993022441864014
pos_17,0.004957468714565039,0.9317921996116638
pos_18,0.00489472970366478,0.9199999570846558
pos_19,0.0037599364295601845,0.7067073583602905
pos_20,0.003087131306529045,0.5802487134933472
pos_21,0.0029356153681874275,0.5517702102661133
pos_22,0.0017652921378612518,0.3317994773387909
pos_23,0.003498687408864498,0.6576036810874939
pos_24,0.005320348776876926,0.999998152256012
pos_25,0.003794771386310458,0.7132548093795776
pos_26,0.003086190205067396,0.5800718665122986
pos_27,0.0017067341832444072,0.3207930624485016
pos_28,0.004992194939404726,0.9383192658424377
pos_29,0.004864376038312912,0.9142947793006897
pos_30,0.0014373804442584515,0.2701660990715027
pos_31,0.004008772782981396,0.753477931022644
pos_32,0.0017847742419689894,0.33546125888824463
