position,sensitivity,sensitivity_normalised
pos_0,0.09030366688966751,0.5701479911804199
pos_1,0.1314384937286377,0.8298599123954773
pos_2,0.109762042760849,0.6930018663406372
pos_3,0.09509454667568207,0.6003960371017456
pos_4,0.0904085636138916,0.5708102583885193
pos_5,0.07308933883905411,0.4614623188972473
pos_6,0.09003451466560364,0.5684486627578735
pos_7,0.12545731663703918,0.7920966744422913
pos_8,0.1344892978668213,0.8491216897964478
pos_9,0.13579410314559937,0.8573598265647888
pos_10,0.10770267248153687,0.6799996495246887
pos_11,0.09378379583358765,0.5921204090118408
pos_12,0.10308629274368286,0.6508533358573914
pos_13,0.13256880640983582,0.83699631690979
pos_14,0.1316528171300888,0.8312130570411682
pos_15,0.12849698960781097,0.8112881779670715
pos_16,0.1183505728840828,0.7472270131111145
pos_17,0.10529167205095291,0.664777398109436
pos_18,0.10161395370960236,0.6415574550628662
pos_19,0.11890288442373276,0.750714123249054
pos_20,0.12226315587759018,0.7719298005104065
pos_21,0.13038133084774017,0.8231853246688843
pos_22,0.13964466750621796,0.8816710114479065
pos_23,0.09737584739923477,0.614799439907074
pos_24,0.09491150081157684,0.5992403626441956
pos_25,0.10712768882513046,0.6763693690299988
pos_26,0.1283976137638092,0.8106607794761658
pos_27,0.15838634967803955,0.9999998807907104
pos_28,0.12398923188447952,0.7828276753425598
pos_29,0.0965919941663742,0.6098504662513733
pos_30,0.0724572017788887,0.45747122168540955
